State,Year,Quarter,District,RegisteredUsers
andhra-pradesh,2018,3,anantapur district,1815215
andhra-pradesh,2018,3,ysr district,1557444
andhra-pradesh,2018,3,west godavari district,1431282
andhra-pradesh,2018,3,kurnool district,2921189
andhra-pradesh,2018,3,chittoor district,2297429
andhra-pradesh,2018,3,guntur district,1912529
andhra-pradesh,2018,3,krishna district,2396934
andhra-pradesh,2018,4,east godavari district,3052762
andhra-pradesh,2018,4,srikakulam district,1252807
andhra-pradesh,2018,4,spsr nellore district,1814997
andhra-pradesh,2018,4,vizianagaram district,1386787
andhra-pradesh,2018,4,visakhapatnam district,4791421
andhra-pradesh,2018,4,prakasam district,1692862
andhra-pradesh,2018,4,anantapur district,2286391
andhra-pradesh,2018,4,ysr district,1732527
andhra-pradesh,2018,4,west godavari district,1688482
andhra-pradesh,2018,4,kurnool district,2508530
andhra-pradesh,2018,4,chittoor district,3166201
andhra-pradesh,2018,4,guntur district,2546620
andhra-pradesh,2018,4,krishna district,2839161
andhra-pradesh,2019,1,east godavari district,5440146
andhra-pradesh,2019,1,srikakulam district,2526855
andhra-pradesh,2019,1,spsr nellore district,3333584
andhra-pradesh,2019,1,vizianagaram district,2798241
andhra-pradesh,2019,1,visakhapatnam district,9690866
andhra-pradesh,2019,1,prakasam district,2931081
andhra-pradesh,2019,1,anantapur district,3891336
andhra-pradesh,2019,1,ysr district,2852197
andhra-pradesh,2019,1,west godavari district,2829437
andhra-pradesh,2019,1,kurnool district,4193432
andhra-pradesh,2019,1,chittoor district,6486813
andhra-pradesh,2019,1,guntur district,4846553
andhra-pradesh,2019,1,krishna district,5443981
andhra-pradesh,2019,2,east godavari district,4699261
andhra-pradesh,2019,2,srikakulam district,2019203
andhra-pradesh,2019,2,spsr nellore district,3141891
andhra-pradesh,2019,2,vizianagaram district,2272320
andhra-pradesh,2019,2,visakhapatnam district,11705738
andhra-pradesh,2019,2,prakasam district,2670529
andhra-pradesh,2019,2,anantapur district,3578836
andhra-pradesh,2019,2,ysr district,2606284
andhra-pradesh,2019,2,west godavari district,2402074
andhra-pradesh,2019,2,kurnool district,3895824
andhra-pradesh,2019,2,chittoor district,5983308
andhra-pradesh,2019,2,guntur district,5005275
andhra-pradesh,2019,2,krishna district,6428472
andhra-pradesh,2019,3,east godavari district,6537303
andhra-pradesh,2019,3,srikakulam district,2556296
andhra-pradesh,2019,3,spsr nellore district,4150195
andhra-pradesh,2019,3,vizianagaram district,2861581
andhra-pradesh,2019,3,visakhapatnam district,16694947
andhra-pradesh,2019,3,prakasam district,3430750
andhra-pradesh,2019,3,anantapur district,4889720
andhra-pradesh,2019,3,ysr district,3296586
andhra-pradesh,2019,3,west godavari district,3179541
andhra-pradesh,2019,3,kurnool district,5139134
andhra-pradesh,2019,3,chittoor district,8201783
andhra-pradesh,2019,3,guntur district,6942304
andhra-pradesh,2019,3,krishna district,8408474
andhra-pradesh,2019,4,east godavari district,9285739
andhra-pradesh,2019,4,srikakulam district,3712555
andhra-pradesh,2019,4,spsr nellore district,5877804
andhra-pradesh,2019,4,vizianagaram district,3998234
andhra-pradesh,2019,4,visakhapatnam district,23594874
andhra-pradesh,2019,4,prakasam district,4865473
andhra-pradesh,2019,4,anantapur district,6764112
andhra-pradesh,2019,4,ysr district,4793157
andhra-pradesh,2019,4,west godavari district,4596479
andhra-pradesh,2019,4,kurnool district,7001958
andhra-pradesh,2019,4,chittoor district,11246986
andhra-pradesh,2019,4,guntur district,9761330
andhra-pradesh,2019,4,krishna district,11719402
andhra-pradesh,2020,1,east godavari district,11346242
andhra-pradesh,2020,1,srikakulam district,4835092
andhra-pradesh,2020,1,spsr nellore district,7430247
andhra-pradesh,2020,1,vizianagaram district,5042066
andhra-pradesh,2020,1,visakhapatnam district,27115031
andhra-pradesh,2020,1,prakasam district,6318396
andhra-pradesh,2020,1,anantapur district,8466129
andhra-pradesh,2020,1,ysr district,6031255
andhra-pradesh,2020,1,west godavari district,5919670
andhra-pradesh,2020,1,kurnool district,8246869
andhra-pradesh,2020,1,chittoor district,13257740
andhra-pradesh,2020,1,guntur district,11493331
andhra-pradesh,2020,1,krishna district,12175289
andhra-pradesh,2020,2,east godavari district,13130334
andhra-pradesh,2020,2,srikakulam district,6425515
andhra-pradesh,2020,2,spsr nellore district,9454274
andhra-pradesh,2020,2,vizianagaram district,6690313
andhra-pradesh,2020,2,visakhapatnam district,25300401
andhra-pradesh,2020,2,prakasam district,8844580
andhra-pradesh,2020,2,anantapur district,10473739
andhra-pradesh,2020,2,ysr district,8033609
andhra-pradesh,2020,2,west godavari district,7273096
andhra-pradesh,2020,2,kurnool district,9821381
andhra-pradesh,2020,2,chittoor district,14848197
andhra-pradesh,2020,2,guntur district,12308707
andhra-pradesh,2020,2,krishna district,12313709
andhra-pradesh,2020,3,east godavari district,17972431
andhra-pradesh,2020,3,srikakulam district,8286289
andhra-pradesh,2020,3,spsr nellore district,16468209
andhra-pradesh,2020,3,vizianagaram district,8236703
andhra-pradesh,2020,3,visakhapatnam district,34421299
andhra-pradesh,2020,3,prakasam district,12266310
andhra-pradesh,2020,3,anantapur district,14447683
andhra-pradesh,2020,3,ysr district,11934653
andhra-pradesh,2020,3,west godavari district,10412351
andhra-pradesh,2020,3,kurnool district,13243292
andhra-pradesh,2020,3,chittoor district,20501863
andhra-pradesh,2020,3,guntur district,17601395
andhra-pradesh,2020,3,krishna district,19110457
andhra-pradesh,2020,4,east godavari district,25989490
andhra-pradesh,2020,4,srikakulam district,11092184
andhra-pradesh,2020,4,spsr nellore district,20934374
andhra-pradesh,2020,4,vizianagaram district,10580824
andhra-pradesh,2020,4,visakhapatnam district,46551467
andhra-pradesh,2020,4,prakasam district,16176867
andhra-pradesh,2020,4,anantapur district,20996384
andhra-pradesh,2020,4,ysr district,15676878
andhra-pradesh,2020,4,west godavari district,15674762
andhra-pradesh,2020,4,kurnool district,18737323
andhra-pradesh,2020,4,chittoor district,29590411
andhra-pradesh,2020,4,guntur district,26136538
