State,Year,Quarter,District,RegisteredUsers
bihar,2018,1,buxar district,61490
bihar,2018,1,darbhanga district,217364
bihar,2018,1,nawada district,78480
bihar,2018,1,jamui district,48226
bihar,2018,1,sheikhpura district,20728
bihar,2018,1,siwan district,129094
bihar,2018,1,muzaffarpur district,388401
bihar,2018,1,patna district,1197281
bihar,2018,1,jehanabad district,52401
bihar,2018,1,rohtas district,201231
bihar,2018,1,begusarai district,134911
bihar,2018,1,supaul district,85807
bihar,2018,1,sitamarhi district,145625
bihar,2018,1,saran district,149786
bihar,2018,1,arwal district,31620
bihar,2018,1,vaishali district,201678
bihar,2018,1,pashchim champaran district,215866
bihar,2018,1,gopalganj district,107134
bihar,2018,1,lakhisarai district,42937
bihar,2018,1,aurangabad district,114354
bihar,2018,1,kaimur bhabua district,64493
bihar,2018,1,araria district,81597
bihar,2018,1,munger district,64639
bihar,2018,1,katihar district,138075
bihar,2018,1,khagaria district,65892
bihar,2018,1,saharsa district,88087
bihar,2018,1,bhagalpur district,174456
bihar,2018,1,madhubani district,173946
bihar,2018,1,kishanganj district,38179
bihar,2018,1,gaya district,231873
bihar,2018,1,samastipur district,222241
bihar,2018,1,banka district,39192
bihar,2018,1,purbi champaran district,254643
bihar,2018,1,sheohar district,25700
bihar,2018,1,bhojpur district,115890
bihar,2018,2,madhepura district,128793
bihar,2018,2,purnia district,200492
bihar,2018,2,nalanda district,306468
bihar,2018,2,buxar district,95499
bihar,2018,2,darbhanga district,322140
bihar,2018,2,nawada district,117582
bihar,2018,2,jamui district,73817
bihar,2018,2,sheikhpura district,30292
bihar,2018,2,siwan district,216997
bihar,2018,2,muzaffarpur district,554675
bihar,2018,2,patna district,1650942
bihar,2018,2,jehanabad district,76302
bihar,2018,2,rohtas district,281535
bihar,2018,2,begusarai district,200949
bihar,2018,2,supaul district,120248
bihar,2018,2,sitamarhi district,207834
bihar,2018,2,saran district,261588
bihar,2018,2,arwal district,41799
bihar,2018,2,vaishali district,316405
bihar,2018,2,pashchim champaran district,305553
bihar,2018,2,gopalganj district,176783
bihar,2018,2,lakhisarai district,63428
bihar,2018,2,aurangabad district,166360
bihar,2018,2,kaimur bhabua district,95278
bihar,2018,2,araria district,144230
bihar,2018,2,munger district,104641
bihar,2018,2,katihar district,218980
bihar,2018,2,khagaria district,107663
bihar,2018,2,saharsa district,137218
bihar,2018,2,bhagalpur district,265147
bihar,2018,2,madhubani district,286112
bihar,2018,2,kishanganj district,68492
bihar,2018,2,gaya district,324390
bihar,2018,2,samastipur district,316985
bihar,2018,2,banka district,62184
bihar,2018,2,purbi champaran district,373033
bihar,2018,2,sheohar district,31877
bihar,2018,2,bhojpur district,179667
bihar,2018,3,madhepura district,149943
bihar,2018,3,purnia district,254555
bihar,2018,3,nalanda district,896006
bihar,2018,3,buxar district,141186
bihar,2018,3,darbhanga district,413648
bihar,2018,3,nawada district,209878
bihar,2018,3,jamui district,104140
bihar,2018,3,sheikhpura district,37393
bihar,2018,3,siwan district,272311
bihar,2018,3,muzaffarpur district,959708
bihar,2018,3,patna district,3360157
bihar,2018,3,jehanabad district,158009
bihar,2018,3,rohtas district,701262
bihar,2018,3,begusarai district,226986
bihar,2018,3,supaul district,165526
bihar,2018,3,sitamarhi district,266426
bihar,2018,3,saran district,366520
bihar,2018,3,arwal district,78393
bihar,2018,3,vaishali district,427385
bihar,2018,3,pashchim champaran district,427544
bihar,2018,3,gopalganj district,218210
bihar,2018,3,lakhisarai district,129690
bihar,2018,3,aurangabad district,269704
bihar,2018,3,kaimur bhabua district,128090
bihar,2018,3,araria district,167608
bihar,2018,3,munger district,136515
bihar,2018,3,katihar district,252857
bihar,2018,3,khagaria district,145602
bihar,2018,3,saharsa district,185665
bihar,2018,3,bhagalpur district,422204
bihar,2018,3,madhubani district,353968
bihar,2018,3,kishanganj district,94729
bihar,2018,3,gaya district,919453
bihar,2018,3,samastipur district,400049
bihar,2018,3,banka district,86362
bihar,2018,3,purbi champaran district,544285
bihar,2018,3,sheohar district,43723
bihar,2018,3,bhojpur district,252114
bihar,2018,4,madhepura district,206209
bihar,2018,4,purnia district,323276
bihar,2018,4,nalanda district,666931
bihar,2018,4,buxar district,166308
bihar,2018,4,darbhanga district,515957
bihar,2018,4,nawada district,225093
bihar,2018,4,jamui district,156998
bihar,2018,4,sheikhpura district,52160
bihar,2018,4,siwan district,366863
bihar,2018,4,muzaffarpur district,886640
bihar,2018,4,patna district,3256138
bihar,2018,4,jehanabad district,176508
bihar,2018,4,rohtas district,534230
bihar,2018,4,begusarai district,326254
bihar,2018,4,supaul district,207479
bihar,2018,4,sitamarhi district,338316
bihar,2018,4,saran district,495166
bihar,2018,4,arwal district,94144
bihar,2018,4,vaishali district,522642
bihar,2018,4,pashchim champaran district,582470
bihar,2018,4,gopalganj district,288486
bihar,2018,4,lakhisarai district,115486
bihar,2018,4,aurangabad district,345707
bihar,2018,4,kaimur bhabua district,175587
bihar,2018,4,araria district,224141
bihar,2018,4,munger district,173044
bihar,2018,4,katihar district,364308
bihar,2018,4,khagaria district,175089
bihar,2018,4,saharsa district,226972
bihar,2018,4,bhagalpur district,460720
bihar,2018,4,madhubani district,480479
bihar,2018,4,kishanganj district,130169
bihar,2018,4,gaya district,724866
bihar,2018,4,samastipur district,529944
bihar,2018,4,banka district,120661
bihar,2018,4,purbi champaran district,732175
bihar,2018,4,sheohar district,57310
bihar,2018,4,bhojpur district,307475
bihar,2019,1,madhepura district,264883
bihar,2019,1,purnia district,432736
bihar,2019,1,nalanda district,946010
bihar,2019,1,buxar district,269395
bihar,2019,1,darbhanga district,763583
bihar,2019,1,nawada district,358636
bihar,2019,1,jamui district,254802
bihar,2019,1,sheikhpura district,84957
bihar,2019,1,siwan district,551354
bihar,2019,1,muzaffarpur district,1262299
bihar,2019,1,patna district,7894598
bihar,2019,1,jehanabad district,281786
bihar,2019,1,rohtas district,879724
bihar,2019,1,begusarai district,456148
bihar,2019,1,supaul district,291495
bihar,2019,1,sitamarhi district,511026
bihar,2019,1,saran district,688941
bihar,2019,1,arwal district,166197
bihar,2019,1,vaishali district,749004
bihar,2019,1,pashchim champaran district,938338
bihar,2019,1,gopalganj district,436537
bihar,2019,1,lakhisarai district,172050
bihar,2019,1,aurangabad district,568106
bihar,2019,1,kaimur bhabua district,286810
bihar,2019,1,araria district,303436
bihar,2019,1,munger district,244480
bihar,2019,1,katihar district,545240
bihar,2019,1,khagaria district,227052
bihar,2019,1,saharsa district,325350
bihar,2019,1,bhagalpur district,669334
bihar,2019,1,madhubani district,725008
bihar,2019,1,kishanganj district,172840
bihar,2019,1,gaya district,1025084
bihar,2019,1,samastipur district,792952
bihar,2019,1,banka district,183133
bihar,2019,1,purbi champaran district,1069790
bihar,2019,1,sheohar district,93729
bihar,2019,1,bhojpur district,469391
bihar,2019,2,madhepura district,249723
bihar,2019,2,purnia district,430976
bihar,2019,2,nalanda district,710450
bihar,2019,2,buxar district,231824
bihar,2019,2,darbhanga district,727675
bihar,2019,2,nawada district,348121
bihar,2019,2,jamui district,273377
bihar,2019,2,sheikhpura district,75522
bihar,2019,2,siwan district,533899
bihar,2019,2,muzaffarpur district,1260648
bihar,2019,2,patna district,13421445
bihar,2019,2,jehanabad district,209202
bihar,2019,2,rohtas district,659316
bihar,2019,2,begusarai district,420369
bihar,2019,2,supaul district,261835
bihar,2019,2,sitamarhi district,464001
bihar,2019,2,saran district,660816
bihar,2019,2,arwal district,127961
bihar,2019,2,vaishali district,706255
bihar,2019,2,pashchim champaran district,754956
bihar,2019,2,gopalganj district,419736
bihar,2019,2,lakhisarai district,140776
bihar,2019,2,aurangabad district,466316
bihar,2019,2,kaimur bhabua district,233890
bihar,2019,2,araria district,275976
bihar,2019,2,munger district,225552
bihar,2019,2,katihar district,500894
bihar,2019,2,khagaria district,211775
bihar,2019,2,saharsa district,309217
bihar,2019,2,bhagalpur district,615040
bihar,2019,2,madhubani district,689839
bihar,2019,2,kishanganj district,172899
bihar,2019,2,gaya district,919937
bihar,2019,2,samastipur district,659872
bihar,2019,2,banka district,149782
bihar,2019,2,purbi champaran district,937122
bihar,2019,2,sheohar district,77989
bihar,2019,2,bhojpur district,425496
bihar,2019,3,madhepura district,285255
bihar,2019,3,purnia district,538629
bihar,2019,3,nalanda district,734808
bihar,2019,3,buxar district,233814
bihar,2019,3,darbhanga district,802970
bihar,2019,3,nawada district,372689
bihar,2019,3,jamui district,293099
bihar,2019,3,sheikhpura district,74944
bihar,2019,3,siwan district,609065
bihar,2019,3,muzaffarpur district,1526447
bihar,2019,3,patna district,13404838
bihar,2019,3,jehanabad district,215894
bihar,2019,3,rohtas district,637472
bihar,2019,3,begusarai district,486249
bihar,2019,3,supaul district,303444
bihar,2019,3,sitamarhi district,515053
bihar,2019,3,saran district,768342
bihar,2019,3,arwal district,129870
bihar,2019,3,vaishali district,835929
bihar,2019,3,pashchim champaran district,794590
bihar,2019,3,gopalganj district,492551
bihar,2019,3,lakhisarai district,166181
bihar,2019,3,aurangabad district,489823
bihar,2019,3,kaimur bhabua district,223817
bihar,2019,3,araria district,337253
bihar,2019,3,munger district,284046
bihar,2019,3,katihar district,605697
bihar,2019,3,khagaria district,267467
bihar,2019,3,saharsa district,364988
bihar,2019,3,bhagalpur district,666207
bihar,2019,3,madhubani district,732727
bihar,2019,3,kishanganj district,212575
bihar,2019,3,gaya district,1275920
bihar,2019,3,samastipur district,725863
bihar,2019,3,banka district,168148
bihar,2019,3,purbi champaran district,1028626
bihar,2019,3,sheohar district,83755
bihar,2019,3,bhojpur district,450855
bihar,2019,4,madhepura district,395526
bihar,2019,4,purnia district,735598
bihar,2019,4,nalanda district,1426896
bihar,2019,4,buxar district,361937
bihar,2019,4,darbhanga district,1059279
bihar,2019,4,nawada district,547595
bihar,2019,4,jamui district,407483
bihar,2019,4,sheikhpura district,124377
bihar,2019,4,siwan district,865806
bihar,2019,4,muzaffarpur district,1900732
bihar,2019,4,patna district,17235243
bihar,2019,4,jehanabad district,343084
bihar,2019,4,rohtas district,1129246
bihar,2019,4,begusarai district,687513
bihar,2019,4,supaul district,418643
bihar,2019,4,sitamarhi district,686989
bihar,2019,4,saran district,1039542
bihar,2019,4,arwal district,207671
bihar,2019,4,vaishali district,1092261
bihar,2019,4,pashchim champaran district,1130965
bihar,2019,4,gopalganj district,650123
bihar,2019,4,lakhisarai district,254456
bihar,2019,4,aurangabad district,751614
bihar,2019,4,kaimur bhabua district,333727
bihar,2019,4,araria district,462746
bihar,2019,4,munger district,353666
bihar,2019,4,katihar district,772131
bihar,2019,4,khagaria district,344043
bihar,2019,4,saharsa district,495346
bihar,2019,4,bhagalpur district,914156
bihar,2019,4,madhubani district,1038907
bihar,2019,4,kishanganj district,279243
bihar,2019,4,gaya district,1627240
bihar,2019,4,samastipur district,995634
bihar,2019,4,banka district,241765
bihar,2019,4,purbi champaran district,1432859
bihar,2019,4,sheohar district,120327
bihar,2019,4,bhojpur district,665945
bihar,2020,1,madhepura district,480526
bihar,2020,1,purnia district,893061
bihar,2020,1,nalanda district,1053570
bihar,2020,1,buxar district,388504
bihar,2020,1,darbhanga district,1296525
bihar,2020,1,nawada district,529218
bihar,2020,1,jamui district,394536
bihar,2020,1,sheikhpura district,130669
bihar,2020,1,siwan district,1271446
bihar,2020,1,muzaffarpur district,2083611
bihar,2020,1,patna district,15560992
bihar,2020,1,jehanabad district,317868
bihar,2020,1,rohtas district,989497
bihar,2020,1,begusarai district,805744
bihar,2020,1,supaul district,548881
bihar,2020,1,sitamarhi district,785267
bihar,2020,1,saran district,1173182
bihar,2020,1,arwal district,188963
bihar,2020,1,vaishali district,1177251
bihar,2020,1,pashchim champaran district,1495660
bihar,2020,1,gopalganj district,838277
bihar,2020,1,lakhisarai district,261395
bihar,2020,1,aurangabad district,790573
bihar,2020,1,kaimur bhabua district,362763
bihar,2020,1,araria district,573320
bihar,2020,1,munger district,386821
bihar,2020,1,katihar district,927801
bihar,2020,1,khagaria district,446511
bihar,2020,1,saharsa district,592496
bihar,2020,1,bhagalpur district,1141739
bihar,2020,1,madhubani district,1264352
bihar,2020,1,kishanganj district,366857
bihar,2020,1,gaya district,1524983
bihar,2020,1,samastipur district,1233758
bihar,2020,1,banka district,274099
bihar,2020,1,purbi champaran district,1671939
bihar,2020,1,sheohar district,138460
bihar,2020,1,bhojpur district,720700
bihar,2020,2,madhepura district,694489
bihar,2020,2,purnia district,1220645
bihar,2020,2,nalanda district,1236612
bihar,2020,2,buxar district,528766
bihar,2020,2,darbhanga district,1660540
bihar,2020,2,nawada district,830738
bihar,2020,2,jamui district,616481
bihar,2020,2,sheikhpura district,190302
bihar,2020,2,siwan district,1496472
bihar,2020,2,muzaffarpur district,2572251
bihar,2020,2,patna district,13807801
bihar,2020,2,jehanabad district,429941
bihar,2020,2,rohtas district,1317112
bihar,2020,2,begusarai district,1013896
bihar,2020,2,supaul district,782514
bihar,2020,2,sitamarhi district,1089786
bihar,2020,2,saran district,1590231
bihar,2020,2,arwal district,268085
bihar,2020,2,vaishali district,1501134
bihar,2020,2,pashchim champaran district,1947807
bihar,2020,2,gopalganj district,1167013
bihar,2020,2,lakhisarai district,363770
bihar,2020,2,aurangabad district,1130661
bihar,2020,2,kaimur bhabua district,543289
bihar,2020,2,araria district,858907
bihar,2020,2,munger district,522173
bihar,2020,2,katihar district,1255101
bihar,2020,2,khagaria district,576287
bihar,2020,2,saharsa district,823372
bihar,2020,2,bhagalpur district,1561760
bihar,2020,2,madhubani district,1777506
bihar,2020,2,kishanganj district,526568
bihar,2020,2,gaya district,1972685
bihar,2020,2,samastipur district,1536299
bihar,2020,2,banka district,458109
bihar,2020,2,purbi champaran district,2357758
bihar,2020,2,sheohar district,205238
bihar,2020,2,bhojpur district,954643
bihar,2020,3,madhepura district,840190
bihar,2020,3,purnia district,1716768
bihar,2020,3,nalanda district,1624864
bihar,2020,3,buxar district,656065
bihar,2020,3,darbhanga district,2323627
bihar,2020,3,nawada district,1000893
bihar,2020,3,jamui district,734016
bihar,2020,3,sheikhpura district,241583
bihar,2020,3,siwan district,1927410
bihar,2020,3,muzaffarpur district,3476178
bihar,2020,3,patna district,20716631
bihar,2020,3,jehanabad district,550190
bihar,2020,3,rohtas district,1626703
bihar,2020,3,begusarai district,1317210
bihar,2020,3,supaul district,923545
bihar,2020,3,sitamarhi district,1409661
bihar,2020,3,saran district,2089459
bihar,2020,3,arwal district,340974
bihar,2020,3,vaishali district,2036376
bihar,2020,3,pashchim champaran district,2269399
bihar,2020,3,gopalganj district,1415473
bihar,2020,3,lakhisarai district,450566
bihar,2020,3,aurangabad district,1435440
bihar,2020,3,kaimur bhabua district,624278
bihar,2020,3,araria district,1042498
bihar,2020,3,munger district,679643
bihar,2020,3,katihar district,1523754
bihar,2020,3,khagaria district,714776
bihar,2020,3,saharsa district,972500
bihar,2020,3,bhagalpur district,2291210
bihar,2020,3,madhubani district,2378853
bihar,2020,3,kishanganj district,636842
bihar,2020,3,gaya district,2533169
bihar,2020,3,samastipur district,1964342
bihar,2020,3,banka district,535276
bihar,2020,3,purbi champaran district,3014805
bihar,2020,3,sheohar district,259484
bihar,2020,3,bhojpur district,1209097
bihar,2020,4,madhepura district,1155495
bihar,2020,4,purnia district,2416041
bihar,2020,4,nalanda district,2255217
bihar,2020,4,buxar district,963324
bihar,2020,4,darbhanga district,3297598
bihar,2020,4,nawada district,1338381
bihar,2020,4,jamui district,1013521
bihar,2020,4,sheikhpura district,313125
bihar,2020,4,siwan district,2923089
bihar,2020,4,muzaffarpur district,4970912
bihar,2020,4,patna district,24443301
bihar,2020,4,jehanabad district,767929
bihar,2020,4,rohtas district,2274947
bihar,2020,4,begusarai district,1917729
bihar,2020,4,supaul district,1248616
bihar,2020,4,sitamarhi district,1921037
bihar,2020,4,saran district,3186771
bihar,2020,4,arwal district,458804
bihar,2020,4,vaishali district,2855999
bihar,2020,4,pashchim champaran district,3212814
bihar,2020,4,gopalganj district,2155078
bihar,2020,4,lakhisarai district,631414
bihar,2020,4,aurangabad district,2000839
bihar,2020,4,kaimur bhabua district,804133
bihar,2020,4,araria district,1536430
bihar,2020,4,munger district,985968
bihar,2020,4,katihar district,2214215
bihar,2020,4,khagaria district,1056610
bihar,2020,4,saharsa district,1364666
bihar,2020,4,bhagalpur district,2991335
bihar,2020,4,madhubani district,3371688
bihar,2020,4,kishanganj district,891347
bihar,2020,4,gaya district,3671183
bihar,2020,4,samastipur district,2867496
bihar,2020,4,banka district,715298
bihar,2020,4,purbi champaran district,4295258
bihar,2020,4,sheohar district,340485
bihar,2020,4,bhojpur district,1763580
bihar,2021,1,madhepura district,1236738
bihar,2021,1,purnia district,2732403
bihar,2021,1,nalanda district,2268463
bihar,2021,1,buxar district,879471
bihar,2021,1,darbhanga district,3456999
bihar,2021,1,nawada district,1343218
bihar,2021,1,jamui district,1038356
bihar,2021,1,sheikhpura district,300298
bihar,2021,1,siwan district,2823522
bihar,2021,1,muzaffarpur district,5221017
bihar,2021,1,patna district,41272981
bihar,2021,1,jehanabad district,723928
bihar,2021,1,rohtas district,2216469
bihar,2021,1,begusarai district,1977439
bihar,2021,1,supaul district,1362458
bihar,2021,1,sitamarhi district,1895158
bihar,2021,1,saran district,3020459
bihar,2021,1,arwal district,430486
bihar,2021,1,vaishali district,2763964
bihar,2021,1,pashchim champaran district,3418382
bihar,2021,1,gopalganj district,2101332
bihar,2021,1,lakhisarai district,613756
bihar,2021,1,aurangabad district,1991766
bihar,2021,1,kaimur bhabua district,794062
bihar,2021,1,araria district,1645629
bihar,2021,1,munger district,960092
bihar,2021,1,katihar district,2323955
bihar,2021,1,khagaria district,1072001
bihar,2021,1,saharsa district,1467040
bihar,2021,1,bhagalpur district,3729907
bihar,2021,1,madhubani district,3251471
bihar,2021,1,kishanganj district,956184
bihar,2021,1,gaya district,3790466
bihar,2021,1,samastipur district,2833659
bihar,2021,1,banka district,678449
bihar,2021,1,purbi champaran district,4379932
bihar,2021,1,sheohar district,337930
bihar,2021,1,bhojpur district,1622637
bihar,2021,2,madhepura district,1684296
bihar,2021,2,purnia district,3753134
bihar,2021,2,nalanda district,2876066
bihar,2021,2,buxar district,1252195
bihar,2021,2,darbhanga district,4739297
bihar,2021,2,nawada district,1911948
bihar,2021,2,jamui district,1521567
bihar,2021,2,sheikhpura district,427755
bihar,2021,2,siwan district,4705097
bihar,2021,2,muzaffarpur district,6872504
bihar,2021,2,patna district,53400850
bihar,2021,2,jehanabad district,995035
bihar,2021,2,rohtas district,3001706
bihar,2021,2,begusarai district,2745981
bihar,2021,2,supaul district,1834979
bihar,2021,2,sitamarhi district,2697354
bihar,2021,2,saran district,4392087
bihar,2021,2,arwal district,605677
bihar,2021,2,vaishali district,3799946
bihar,2021,2,pashchim champaran district,4672176
bihar,2021,2,gopalganj district,3111515
bihar,2021,2,lakhisarai district,840880
bihar,2021,2,aurangabad district,2708735
bihar,2021,2,kaimur bhabua district,1150340
bihar,2021,2,araria district,2293469
bihar,2021,2,munger district,1320520
bihar,2021,2,katihar district,3117723
bihar,2021,2,khagaria district,1469798
bihar,2021,2,saharsa district,1904150
bihar,2021,2,bhagalpur district,5068435
bihar,2021,2,madhubani district,4695466
bihar,2021,2,kishanganj district,1256800
bihar,2021,2,gaya district,4732185
bihar,2021,2,samastipur district,4015424
bihar,2021,2,banka district,999688
bihar,2021,2,purbi champaran district,6300129
bihar,2021,2,sheohar district,516755
bihar,2021,2,bhojpur district,2211960
bihar,2021,3,madhepura district,2034018
bihar,2021,3,purnia district,4826016
bihar,2021,3,nalanda district,3381075
bihar,2021,3,buxar district,1331392
bihar,2021,3,darbhanga district,5791524
bihar,2021,3,nawada district,2139002
bihar,2021,3,jamui district,1679182
bihar,2021,3,sheikhpura district,463143
bihar,2021,3,siwan district,6975763
bihar,2021,3,muzaffarpur district,8663460
bihar,2021,3,patna district,65085179
bihar,2021,3,jehanabad district,1195445
bihar,2021,3,rohtas district,3409156
bihar,2021,3,begusarai district,3382669
bihar,2021,3,supaul district,2247423
bihar,2021,3,sitamarhi district,3071280
bihar,2021,3,saran district,4909074
bihar,2021,3,arwal district,655254
bihar,2021,3,vaishali district,4483512
bihar,2021,3,pashchim champaran district,5626291
bihar,2021,3,gopalganj district,3591809
bihar,2021,3,lakhisarai district,944664
bihar,2021,3,aurangabad district,2970923
bihar,2021,3,kaimur bhabua district,1218238
bihar,2021,3,araria district,2813200
bihar,2021,3,munger district,1519400
bihar,2021,3,katihar district,3783324
bihar,2021,3,khagaria district,1706354
bihar,2021,3,saharsa district,2350666
bihar,2021,3,bhagalpur district,6299248
bihar,2021,3,madhubani district,5236281
bihar,2021,3,kishanganj district,1562190
bihar,2021,3,gaya district,5929649
bihar,2021,3,samastipur district,4742581
bihar,2021,3,banka district,1086496
bihar,2021,3,purbi champaran district,7528149
bihar,2021,3,sheohar district,590061
bihar,2021,3,bhojpur district,2448022
bihar,2021,4,madhepura district,2669341
bihar,2021,4,purnia district,6360264
bihar,2021,4,nalanda district,4304381
bihar,2021,4,buxar district,1873253
bihar,2021,4,darbhanga district,7502523
bihar,2021,4,nawada district,2795470
bihar,2021,4,jamui district,2194277
bihar,2021,4,sheikhpura district,618189
bihar,2021,4,siwan district,9398007
bihar,2021,4,muzaffarpur district,11287438
bihar,2021,4,patna district,81765610
bihar,2021,4,jehanabad district,1714631
bihar,2021,4,rohtas district,4602525
bihar,2021,4,begusarai district,4482558
bihar,2021,4,supaul district,3015274
bihar,2021,4,sitamarhi district,4153350
bihar,2021,4,saran district,6615773
bihar,2021,4,arwal district,924102
bihar,2021,4,vaishali district,5962902
bihar,2021,4,pashchim champaran district,7557978
bihar,2021,4,gopalganj district,4774101
bihar,2021,4,lakhisarai district,1267087
bihar,2021,4,aurangabad district,4053207
bihar,2021,4,kaimur bhabua district,1629114
bihar,2021,4,araria district,3740380
bihar,2021,4,munger district,2073784
bihar,2021,4,katihar district,5138243
bihar,2021,4,khagaria district,2299254
bihar,2021,4,saharsa district,3136205
bihar,2021,4,bhagalpur district,8447521
bihar,2021,4,madhubani district,7114778
bihar,2021,4,kishanganj district,2070748
bihar,2021,4,gaya district,7707242
bihar,2021,4,samastipur district,6267039
bihar,2021,4,banka district,1483610
bihar,2021,4,purbi champaran district,9979391
bihar,2021,4,sheohar district,799885
bihar,2021,4,bhojpur district,3347510
bihar,2022,1,madhepura district,3384919
bihar,2022,1,purnia district,7761464
bihar,2022,1,nalanda district,5035999
bihar,2022,1,buxar district,2213876
bihar,2022,1,darbhanga district,8600500
bihar,2022,1,nawada district,3382331
bihar,2022,1,jamui district,2761886
bihar,2022,1,sheikhpura district,738851
bihar,2022,1,siwan district,10720865
bihar,2022,1,muzaffarpur district,12910258
bihar,2022,1,patna district,91217400
bihar,2022,1,jehanabad district,1918857
bihar,2022,1,rohtas district,5494559
bihar,2022,1,begusarai district,5140182
bihar,2022,1,supaul district,3890072
bihar,2022,1,sitamarhi district,4933418
bihar,2022,1,saran district,7423680
bihar,2022,1,arwal district,1056566
bihar,2022,1,vaishali district,6884744
bihar,2022,1,pashchim champaran district,9265237
bihar,2022,1,gopalganj district,5437535
bihar,2022,1,lakhisarai district,1489189
bihar,2022,1,aurangabad district,4926976
bihar,2022,1,kaimur bhabua district,1983220
bihar,2022,1,araria district,4907830
bihar,2022,1,munger district,2340138
bihar,2022,1,katihar district,6255367
bihar,2022,1,khagaria district,2655355
bihar,2022,1,saharsa district,3894203
bihar,2022,1,bhagalpur district,10073459
bihar,2022,1,madhubani district,8110120
bihar,2022,1,kishanganj district,2696563
bihar,2022,1,gaya district,9087772
bihar,2022,1,samastipur district,7178902
bihar,2022,1,banka district,1820481
bihar,2022,1,purbi champaran district,11934864
bihar,2022,1,sheohar district,934918
bihar,2022,1,bhojpur district,3927878
bihar,2022,2,madhepura district,4209207
bihar,2022,2,purnia district,9889577
bihar,2022,2,nalanda district,6269480
bihar,2022,2,buxar district,2797437
bihar,2022,2,darbhanga district,10725196
bihar,2022,2,nawada district,4118007
bihar,2022,2,jamui district,3528608
bihar,2022,2,sheikhpura district,953725
bihar,2022,2,siwan district,13494216
bihar,2022,2,muzaffarpur district,16060062
bihar,2022,2,patna district,119754430
bihar,2022,2,jehanabad district,2181068
bihar,2022,2,rohtas district,6569923
bihar,2022,2,begusarai district,6463752
bihar,2022,2,supaul district,4800847
bihar,2022,2,sitamarhi district,6268537
bihar,2022,2,saran district,9482396
bihar,2022,2,arwal district,1219651
bihar,2022,2,vaishali district,8483096
bihar,2022,2,pashchim champaran district,10647366
bihar,2022,2,gopalganj district,6866807
bihar,2022,2,lakhisarai district,1833275
bihar,2022,2,aurangabad district,5998050
bihar,2022,2,kaimur bhabua district,2446252
bihar,2022,2,araria district,6068247
bihar,2022,2,munger district,2942234
bihar,2022,2,katihar district,8028934
bihar,2022,2,khagaria district,3319181
bihar,2022,2,saharsa district,4720666
bihar,2022,2,bhagalpur district,13606084
bihar,2022,2,madhubani district,9968959
bihar,2022,2,kishanganj district,3377891
bihar,2022,2,gaya district,10986567
bihar,2022,2,samastipur district,8955837
bihar,2022,2,banka district,2349784
bihar,2022,2,purbi champaran district,14735078
bihar,2022,2,sheohar district,1194107
bihar,2022,2,bhojpur district,4830495
bihar,2022,3,madhepura district,4155258
bihar,2022,3,purnia district,9688113
bihar,2022,3,nalanda district,6312480
bihar,2022,3,buxar district,2865171
bihar,2022,3,darbhanga district,10324556
bihar,2022,3,nawada district,4486372
bihar,2022,3,jamui district,3946599
bihar,2022,3,sheikhpura district,918143
bihar,2022,3,siwan district,9418848
bihar,2022,3,muzaffarpur district,16912765
bihar,2022,3,patna district,188665398
bihar,2022,3,jehanabad district,2448662
bihar,2022,3,rohtas district,6784436
bihar,2022,3,begusarai district,7583904
bihar,2022,3,supaul district,4921556
bihar,2022,3,sitamarhi district,12134163
bihar,2022,3,saran district,10802033
bihar,2022,3,arwal district,1236701
bihar,2022,3,vaishali district,9169007
bihar,2022,3,pashchim champaran district,11723439
bihar,2022,3,gopalganj district,7957267
bihar,2022,3,lakhisarai district,1805206
bihar,2022,3,aurangabad district,5912006
bihar,2022,3,kaimur bhabua district,2341336
bihar,2022,3,araria district,6340369
bihar,2022,3,munger district,2750473
bihar,2022,3,katihar district,8203134
bihar,2022,3,khagaria district,3304286
bihar,2022,3,saharsa district,5029944
bihar,2022,3,bhagalpur district,8342252
bihar,2022,3,madhubani district,9999220
bihar,2022,3,kishanganj district,3653577
bihar,2022,3,gaya district,11189071
bihar,2022,3,samastipur district,12531008
bihar,2022,3,banka district,2758275
bihar,2022,3,purbi champaran district,14515173
bihar,2022,3,sheohar district,1221390
bihar,2022,3,bhojpur district,5015794
bihar,2022,4,madhepura district,5022050
bihar,2022,4,purnia district,10279227
bihar,2022,4,nalanda district,7514886
bihar,2022,4,buxar district,3859617
bihar,2022,4,darbhanga district,12146750
bihar,2022,4,nawada district,4969118
bihar,2022,4,jamui district,4745328
bihar,2022,4,sheikhpura district,1523803
bihar,2022,4,siwan district,12408052
bihar,2022,4,muzaffarpur district,19056253
bihar,2022,4,patna district,217434851
bihar,2022,4,jehanabad district,2844066
bihar,2022,4,rohtas district,8337061
bihar,2022,4,begusarai district,8893901
bihar,2022,4,supaul district,6223660
bihar,2022,4,sitamarhi district,11973091
bihar,2022,4,saran district,13791757
bihar,2022,4,arwal district,1753363
bihar,2022,4,vaishali district,13468090
bihar,2022,4,pashchim champaran district,13798685
bihar,2022,4,gopalganj district,8691592
bihar,2022,4,lakhisarai district,2222938
bihar,2022,4,aurangabad district,7443654
bihar,2022,4,kaimur bhabua district,2948908
bihar,2022,4,araria district,7506762
bihar,2022,4,munger district,3517170
bihar,2022,4,katihar district,9792573
bihar,2022,4,khagaria district,4032933
bihar,2022,4,saharsa district,5976774
